Transaction ID,Type,Date,Period,Document Number,Status,Posting,Entity,Account Number,Account Name,Memo,Item,Item Description,Quantity,Unit of Measure,Unit Price,Currency,Exchange Rate to USD,Amount (Foreign),Tax Amount (Foreign),Net Amount (Foreign),Amount (USD),Subsidiary,Location,Department,Class,Terms,Payment Method,Created From
TXN-0003090,Bank Deposit,2024-07-08,Jul 2024,BAN-657394,Deposited,Yes,KPMG,6100,R&D Expense,Promotion credit,,,,,,USD,1.0,34153.45,0.0,34153.45,34153.45,Enso UK,EU-Central,HR,Mid-Market,,Check,
TXN-0003091,Bill,2024-07-22,Jul 2024,BIL-949049,Open,Yes,AWS,6200,G&A Expense,Subscription,SKU-ENSO-TEAM,Enso Team License,8.2,Each,1302.77,USD,1.0,10593.04,529.65,11122.69,10593.04,Enso EU,US-West,R&D,Internal,Net 45,,
TXN-0003092,Invoice,2024-07-01,Jul 2024,INV-533969,Open,Yes,Hooli LLC,4100,Services Revenue,Training session,SKU-SUP-STD,Standard Support,1.0,Month,1088.48,USD,1.0,8520.92,745.58,9266.5,8520.92,Enso EU,US-East,HR,Internal,Net 30,,
TXN-0003093,Vendor Payment,2024-07-16,Jul 2024,VEN-546427,Processed,Yes,Cisco,6100,R&D Expense,Travel & meals,,,,,,USD,1.0,8361.52,0.0,8361.52,8361.52,Enso UK,US-East,HR,Mid-Market,,ACH,
TXN-0003094,Bill,2024-07-04,Jul 2024,BIL-555481,Open,Yes,AWS,6100,R&D Expense,License renewal,SKU-SUP-PREM,Premium Support,2.22,Month,785.54,USD,1.0,2457.68,122.88,2580.56,2457.68,Enso EU,US-West,Sales,Mid-Market,Net 30,,
TXN-0003095,Customer Payment,2024-07-30,Jul 2024,CUS-166892,Deposited,Yes,Wonka Partners,4000,Revenue,Travel & meals,,,,,,USD,1.0,4498.83,0.0,4498.83,4498.83,Enso EU,US-East,Sales,Enterprise,,Wire,
TXN-0003096,Bank Deposit,2024-07-23,Jul 2024,BAN-887446,Deposited,Yes,Dell,4100,Services Revenue,Training session,,,,,,USD,1.0,23618.13,0.0,23618.13,23618.13,Enso EU,EU-Central,Marketing,Enterprise,,Credit Card,
TXN-0003097,Customer Payment,2024-07-06,Jul 2024,CUS-709400,Undeposited,Yes,Soylent Partners,4100,Services Revenue,Inventory receipt,,,,,,USD,1.0,13780.16,0.0,13780.16,13780.16,Enso US,US-West,Finance,Enterprise,,Wire,
TXN-0003098,Cash Sale,2024-07-10,Jul 2024,CAS-283457,Paid,Yes,Vehement Corp,4000,Revenue,Consulting services,SKU-TRNG-01,Admin Training,2.7,Hour,1727.68,USD,1.0,14034.7,1333.3,15368.0,14034.7,Enso US,US-East,Operations,Internal,,Check,
TXN-0003099,Vendor Credit,2024-07-27,Jul 2024,VEN-124995,Open,Yes,Fastly,5000,COGS,Hardware purchase,SKU-SUP-PREM,Premium Support,6.05,Month,501.12,USD,1.0,-11417.42,0.0,-11417.42,-11417.42,Enso US,EU-Central,Sales,Internal,,,
TXN-0003100,Invoice,2024-07-03,Jul 2024,INV-501805,Partially Paid,Yes,Hooli Partners,4200,Product Revenue,Hardware purchase,SKU-TRNG-01,Admin Training,6.05,Hour,2710.24,EUR,1.09,10068.65,503.43,10572.08,10974.83,Enso UK,US-West,Marketing,SMB,Net 30,,
TXN-0003101,Bill,2024-07-27,Jul 2024,BIL-429759,Open,Yes,Google Cloud,6200,G&A Expense,Hardware purchase,SKU-ENSO-PRO,Enso Pro License,5.07,Each,1219.25,USD,1.0,7683.64,384.18,8067.82,7683.64,Enso EU,US-East,Marketing,Mid-Market,Net 30,,
TXN-0003102,Bill,2024-07-17,Jul 2024,BIL-521850,Open,Yes,Microsoft,6000,Sales & Marketing,Cloud services,SKU-TRNG-01,Admin Training,6.01,Hour,969.01,GBP,1.27,4668.64,0.0,4668.64,5929.17,Enso UK,US-East,R&D,Internal,Net 30,,
TXN-0003103,Invoice,2024-07-30,Jul 2024,INV-727533,Paid In Full,Yes,Cyberdyne Inc,4000,Revenue,License renewal,SKU-SUP-PREM,Premium Support,5.3,Month,1017.52,USD,1.0,8819.53,771.71,9591.24,8819.53,Enso EU,US-East,Sales,Enterprise,Net 15,,
TXN-0003104,Bill,2024-07-19,Jul 2024,BIL-899759,Paid In Full,Yes,Stripe,6000,Sales & Marketing,Hardware purchase,SKU-ENSO-PRO,Enso Pro License,8.82,Each,495.85,EUR,1.09,3093.22,0.0,3093.22,3371.61,Enso UK,EU-Central,R&D,Mid-Market,Net 15,,
TXN-0003105,Vendor Payment,2024-07-24,Jul 2024,VEN-142141,Processed,Yes,KPMG,5000,COGS,Monthly charge,,,,,,USD,1.0,7065.25,0.0,7065.25,7065.25,Enso UK,UK-South,Marketing,Internal,,Credit Card,
TXN-0003106,Bill,2024-07-14,Jul 2024,BIL-139767,Open,Yes,Deloitte,5000,COGS,Monthly charge,SKU-ENSO-PRO,Enso Pro License,6.01,Each,1245.59,USD,1.0,3890.8,369.63,4260.43,3890.8,Enso US,UK-South,Finance,Mid-Market,Net 45,,
TXN-0003107,Bill,2024-07-22,Jul 2024,BIL-745012,Paid In Full,Yes,Accenture,5000,COGS,Quarterly true-up,SKU-ENSO-TEAM,Enso Team License,6.13,Each,618.3,USD,1.0,14694.0,1285.72,15979.72,14694.0,Enso UK,UK-South,Sales,SMB,Due on Receipt,,
TXN-0003108,Transfer,2024-07-19,Jul 2024,TRA-414444,Completed,Yes,Zoom,5100,Freight Out,Hardware purchase,,,,,,USD,1.0,9009.36,0.0,9009.36,9009.36,Enso US,UK-South,Marketing,Internal,,,
TXN-0003109,Bill,2024-07-09,Jul 2024,BIL-184646,Partially Paid,Yes,Microsoft,6100,R&D Expense,Monthly charge,SKU-ENSO-TEAM,Enso Team License,4.96,Each,1296.36,USD,1.0,5073.4,253.67,5327.07,5073.4,Enso EU,EU-Central,Sales,Internal,Net 15,,
TXN-0003110,Invoice,2024-07-19,Jul 2024,INV-472639,Partially Paid,Yes,Vehement Inc,4200,Product Revenue,Promotion credit,SKU-TRNG-01,Admin Training,7.72,Hour,1248.54,GBP,1.27,19380.96,1695.83,21076.79,24613.82,Enso EU,UK-South,Finance,Enterprise,Due on Receipt,,
TXN-0003111,Customer Payment,2024-07-02,Jul 2024,CUS-112690,Undeposited,Yes,Initech Partners,4000,Revenue,Travel & meals,,,,,,USD,1.0,9464.01,0.0,9464.01,9464.01,Enso EU,US-East,R&D,SMB,,Credit Card,
TXN-0003112,Bank Deposit,2024-07-20,Jul 2024,BAN-882228,Deposited,Yes,Microsoft,4100,Services Revenue,Consulting services,,,,,,USD,1.0,21175.37,0.0,21175.37,21175.37,Enso US,US-West,Marketing,Enterprise,,Wire,
TXN-0003113,Journal Entry,2024-07-20,Jul 2024,JOU-605847,Approved,Yes,Salesforce,1100,Accounts Receivable,Cloud services,,,,,,USD,1.0,45608.46,0.0,45608.46,45608.46,Enso US,UK-South,Marketing,Enterprise,,,
TXN-0003114,Vendor Payment,2024-07-21,Jul 2024,VEN-233161,Processed,Yes,Dell,6000,Sales & Marketing,Inventory receipt,,,,,,USD,1.0,11372.96,0.0,11372.96,11372.96,Enso UK,UK-South,HR,Enterprise,,Wire,
TXN-0003115,Vendor Payment,2024-07-29,Jul 2024,VEN-617775,Processed,Yes,Accenture,6000,Sales & Marketing,Monthly charge,,,,,,USD,1.0,12750.71,0.0,12750.71,12750.71,Enso UK,US-West,HR,SMB,,Credit Card,
TXN-0003116,Journal Entry,2024-07-20,Jul 2024,JOU-586045,Posted,Yes,Stripe,6100,R&D Expense,Training session,,,,,,USD,1.0,35165.91,0.0,35165.91,35165.91,Enso US,US-West,Marketing,SMB,,,
TXN-0003117,Invoice,2024-07-22,Jul 2024,INV-842876,Paid In Full,Yes,Wonka Corp,4100,Services Revenue,Support plan,SKU-SUP-STD,Standard Support,2.53,Month,1493.76,EUR,1.09,12183.24,1157.41,13340.65,13279.73,Enso US,US-East,HR,SMB,Due on Receipt,,
TXN-0003118,Journal Entry,2024-07-05,Jul 2024,JOU-442815,Posted,Yes,Oracle,5000,COGS,Hardware purchase,,,,,,USD,1.0,38925.38,0.0,38925.38,38925.38,Enso EU,US-East,Operations,Internal,,,
TXN-0003119,Transfer,2024-07-09,Jul 2024,TRA-460404,Completed,Yes,Deloitte,6000,Sales & Marketing,Hardware purchase,,,,,,USD,1.0,29232.69,0.0,29232.69,29232.69,Enso UK,US-East,R&D,Enterprise,,,
TXN-0003120,Customer Payment,2024-07-24,Jul 2024,CUS-506355,Deposited,Yes,Wonka LLC,4200,Product Revenue,Support plan,,,,,,USD,1.0,18553.66,0.0,18553.66,18553.66,Enso UK,US-East,HR,Enterprise,,Check,
TXN-0003121,Credit Memo,2024-07-17,Jul 2024,CRE-737513,Applied,Yes,Wonka LLC,4100,Services Revenue,Subscription,SKU-SUP-PREM,Premium Support,1.0,Month,1836.57,USD,1.0,-11263.03,0.0,-11263.03,-11263.03,Enso UK,UK-South,Marketing,Enterprise,,,
TXN-0003122,Item Receipt,2024-07-11,Jul 2024,ITE-307213,Received,Yes,Oracle,1200,Inventory,License renewal,SKU-SUP-PREM,Premium Support,7.72,Month,1326.98,USD,1.0,15803.97,790.2,16594.17,15803.97,Enso EU,EU-Central,Marketing,Internal,,,
TXN-0003123,Invoice,2024-07-04,Jul 2024,INV-749579,Paid In Full,Yes,Massive Dynamic Inc,4100,Services Revenue,Travel & meals,SKU-ENSO-PRO,Enso Pro License,1.0,Each,251.37,USD,1.0,13152.01,0.0,13152.01,13152.01,Enso US,US-West,Finance,SMB,Net 15,,
TXN-0003124,Invoice,2024-07-17,Jul 2024,INV-596818,Paid In Full,Yes,Wayne Corp,4100,Services Revenue,Inventory receipt,SKU-ENSO-PRO,Enso Pro License,5.92,Each,830.03,EUR,1.09,22425.28,2130.4,24555.68,24443.56,Enso UK,UK-South,Finance,Internal,Net 15,,
TXN-0003125,Transfer,2024-07-11,Jul 2024,TRA-669941,Completed,Yes,Stripe,4000,Revenue,Training session,,,,,,USD,1.0,21414.14,0.0,21414.14,21414.14,Enso US,EU-Central,HR,Internal,,,
TXN-0003126,Vendor Payment,2024-07-05,Jul 2024,VEN-281549,Processed,Yes,Deloitte,5000,COGS,Travel & meals,,,,,,USD,1.0,10045.88,0.0,10045.88,10045.88,Enso UK,EU-Central,Finance,Enterprise,,Check,
TXN-0003127,Cash Sale,2024-07-05,Jul 2024,CAS-202592,Paid,Yes,Stark Partners,4000,Revenue,Training session,SKU-ENSO-PRO,Enso Pro License,6.69,Each,170.53,USD,1.0,18390.48,0.0,18390.48,18390.48,Enso US,US-East,HR,Internal,,ACH,
TXN-0003128,Transfer,2024-07-09,Jul 2024,TRA-540549,Completed,Yes,Deloitte,2000,Accounts Payable,Training session,,,,,,GBP,1.27,16331.16,0.0,16331.16,20740.57,Enso UK,US-East,HR,Mid-Market,,,
TXN-0003129,Invoice,2024-07-30,Jul 2024,INV-688749,Open,Yes,Massive Dynamic Corp,4000,Revenue,Support plan,SKU-TRNG-01,Admin Training,3.11,Hour,457.29,USD,1.0,11396.72,997.21,12393.93,11396.72,Enso US,US-East,Marketing,Internal,Net 45,,
TXN-0003130,Bill,2024-07-18,Jul 2024,BIL-299950,Partially Paid,Yes,Deloitte,6100,R&D Expense,Training session,SKU-ENSO-PRO,Enso Pro License,7.17,Each,1878.97,USD,1.0,13396.34,669.82,14066.16,13396.34,Enso US,US-West,HR,Enterprise,Net 15,,
TXN-0003131,Invoice,2024-07-03,Jul 2024,INV-811812,Paid In Full,Yes,Aperture LLC,4200,Product Revenue,Consulting services,SKU-ENSO-TEAM,Enso Team License,3.06,Each,1334.18,USD,1.0,15370.68,768.53,16139.21,15370.68,Enso UK,EU-Central,R&D,Enterprise,Due on Receipt,,
TXN-0003132,Vendor Credit,2024-07-09,Jul 2024,VEN-993063,Applied,Yes,Dell,6100,R&D Expense,Promotion credit,SKU-ENSO-TEAM,Enso Team License,6.8,Each,2147.63,USD,1.0,-9903.51,0.0,-9903.51,-9903.51,Enso UK,US-East,HR,SMB,,,
TXN-0003133,Journal Entry,2024-07-10,Jul 2024,JOU-841932,Posted,Yes,Deloitte,2100,Accrued Expenses,Consulting services,,,,,,USD,1.0,15866.49,0.0,15866.49,15866.49,Enso US,UK-South,R&D,Internal,,,
TXN-0003134,Expense Report,2024-07-08,Jul 2024,EXP-978121,Pending Approval,Yes,Dell,6000,Sales & Marketing,Travel & meals,SKU-ENSO-TEAM,Enso Team License,4.18,Each,215.84,USD,1.0,7056.6,0.0,7056.6,7056.6,Enso US,EU-Central,Finance,Internal,,,
TXN-0003135,Bill,2024-07-02,Jul 2024,BIL-676147,Paid In Full,Yes,Stripe,6000,Sales & Marketing,Hardware purchase,SKU-TRNG-01,Admin Training,3.7,Hour,884.36,USD,1.0,9683.35,847.29,10530.64,9683.35,Enso EU,US-East,HR,Mid-Market,Net 45,,
TXN-0003136,Cash Sale,2024-07-24,Jul 2024,CAS-288951,Paid,Yes,Umbrella LLC,4000,Revenue,Monthly charge,SKU-ENSO-PRO,Enso Pro License,7.03,Each,97.74,GBP,1.27,7638.0,725.61,8363.61,9700.26,Enso US,US-West,Marketing,Enterprise,,Check,
TXN-0003137,Cash Sale,2024-07-10,Jul 2024,CAS-723486,Paid,Yes,Vehement Inc,4000,Revenue,Monthly charge,SKU-TRNG-01,Admin Training,4.71,Hour,1181.84,USD,1.0,19427.95,0.0,19427.95,19427.95,Enso UK,US-West,Marketing,SMB,,Check,
TXN-0003138,Cash Sale,2024-07-16,Jul 2024,CAS-929066,Paid,Yes,Hooli LLC,4100,Services Revenue,Quarterly true-up,SKU-SUP-PREM,Premium Support,4.45,Month,2147.15,USD,1.0,17592.38,879.62,18472.0,17592.38,Enso EU,US-East,Marketing,Internal,,Credit Card,
TXN-0003139,Bill,2024-07-17,Jul 2024,BIL-497487,Open,Yes,Accenture,5000,COGS,Travel & meals,SKU-ENSO-PRO,Enso Pro License,4.81,Each,295.55,USD,1.0,3695.8,184.79,3880.59,3695.8,Enso US,US-West,Operations,SMB,Net 45,,
TXN-0003140,Invoice,2024-07-21,Jul 2024,INV-484004,Open,Yes,Wayne Corp,4200,Product Revenue,Subscription,SKU-SUP-PREM,Premium Support,9.35,Month,1169.12,USD,1.0,16747.97,837.4,17585.37,16747.97,Enso UK,UK-South,R&D,Enterprise,Net 45,,
TXN-0003141,Invoice,2024-07-05,Jul 2024,INV-533150,Partially Paid,Yes,Cyberdyne LLC,4000,Revenue,Training session,SKU-TRNG-01,Admin Training,6.31,Hour,1274.69,USD,1.0,4235.03,370.57,4605.6,4235.03,Enso UK,UK-South,Operations,SMB,Net 15,,
TXN-0003142,Item Receipt,2024-07-08,Jul 2024,ITE-827533,Received,Yes,Zoom,1200,Inventory,Support plan,SKU-ENSO-PRO,Enso Pro License,5.51,Each,352.41,USD,1.0,8145.56,407.28,8552.84,8145.56,Enso UK,EU-Central,Sales,Enterprise,,,
TXN-0003143,Invoice,2024-07-09,Jul 2024,INV-636356,Paid In Full,Yes,Massive Dynamic LLC,4100,Services Revenue,Travel & meals,SKU-ENSO-TEAM,Enso Team License,4.32,Each,505.92,GBP,1.27,1116.16,97.66,1213.82,1417.52,Enso EU,EU-Central,Operations,Enterprise,Net 45,,
TXN-0003144,Vendor Credit,2024-07-08,Jul 2024,VEN-824921,Applied,Yes,Salesforce,6000,Sales & Marketing,Consulting services,SKU-ENSO-TEAM,Enso Team License,1.32,Each,1662.85,USD,1.0,-6653.87,0.0,-6653.87,-6653.87,Enso UK,UK-South,R&D,Enterprise,,,
TXN-0003145,Cash Sale,2024-07-31,Jul 2024,CAS-937955,Paid,Yes,Globex Corp,4200,Product Revenue,Consulting services,SKU-TRNG-01,Admin Training,3.31,Hour,746.39,USD,1.0,6470.92,566.21,7037.13,6470.92,Enso US,EU-Central,Finance,Enterprise,,Check,
TXN-0003146,Bill,2024-07-21,Jul 2024,BIL-678192,Open,Yes,Zoom,5000,COGS,Quarterly true-up,SKU-SUP-STD,Standard Support,6.46,Month,2585.06,USD,1.0,4845.85,242.29,5088.14,4845.85,Enso US,US-East,Marketing,SMB,Net 15,,
TXN-0003147,Invoice,2024-07-27,Jul 2024,INV-230787,Paid In Full,Yes,Umbrella LLC,4100,Services Revenue,Inventory receipt,SKU-TRNG-01,Admin Training,1.16,Hour,598.7,USD,1.0,22127.2,1936.13,24063.33,22127.2,Enso US,US-East,Sales,SMB,Net 15,,
TXN-0003148,Bill,2024-07-30,Jul 2024,BIL-889317,Paid In Full,Yes,Cisco,6100,R&D Expense,Training session,SKU-TRNG-01,Admin Training,1.18,Hour,501.79,USD,1.0,12688.61,0.0,12688.61,12688.61,Enso EU,UK-South,Marketing,Enterprise,Due on Receipt,,
TXN-0003149,Bill,2024-07-06,Jul 2024,BIL-832032,Partially Paid,Yes,Zoom,6000,Sales & Marketing,Inventory receipt,SKU-ENSO-PRO,Enso Pro License,10.95,Each,453.45,GBP,1.27,6212.15,310.61,6522.76,7889.43,Enso US,UK-South,Sales,Internal,Due on Receipt,,
TXN-0003150,Bill,2024-07-03,Jul 2024,BIL-244701,Open,Yes,KPMG,6000,Sales & Marketing,License renewal,SKU-SUP-PREM,Premium Support,6.91,Month,1166.93,USD,1.0,8699.26,761.19,9460.45,8699.26,Enso EU,UK-South,Finance,Internal,Net 15,,
TXN-0003151,Transfer,2024-07-11,Jul 2024,TRA-604995,Completed,Yes,Microsoft,6100,R&D Expense,Subscription,,,,,,USD,1.0,11767.58,0.0,11767.58,11767.58,Enso US,US-West,Operations,SMB,,,
TXN-0003152,Cash Sale,2024-07-05,Jul 2024,CAS-908325,Paid,Yes,Vehement Corp,4200,Product Revenue,Quarterly true-up,SKU-TRNG-01,Admin Training,4.72,Hour,668.02,USD,1.0,20524.9,0.0,20524.9,20524.9,Enso EU,EU-Central,HR,Enterprise,,Credit Card,
TXN-0003153,Vendor Payment,2024-07-10,Jul 2024,VEN-598708,Processed,Yes,Google Cloud,6000,Sales & Marketing,Training session,,,,,,USD,1.0,6976.4,0.0,6976.4,6976.4,Enso UK,UK-South,Sales,SMB,,Credit Card,
TXN-0003154,Vendor Credit,2024-07-18,Jul 2024,VEN-602796,Open,Yes,Cisco,6200,G&A Expense,Consulting services,SKU-SUP-PREM,Premium Support,7.32,Month,1436.96,USD,1.0,-9122.48,0.0,-9122.48,-9122.48,Enso EU,US-East,Marketing,Mid-Market,,,
TXN-0003155,Item Receipt,2024-07-04,Jul 2024,ITE-458548,Received,Yes,KPMG,1200,Inventory,Monthly charge,SKU-TRNG-01,Admin Training,2.14,Hour,1083.57,USD,1.0,13999.64,0.0,13999.64,13999.64,Enso UK,US-East,Sales,Enterprise,,,
TXN-0003156,Invoice,2024-07-05,Jul 2024,INV-324219,Partially Paid,Yes,Umbrella Partners,4000,Revenue,Training session,SKU-ENSO-TEAM,Enso Team License,6.32,Each,333.81,USD,1.0,8597.44,752.28,9349.72,8597.44,Enso EU,US-East,HR,Mid-Market,Net 30,,
TXN-0003157,Bill,2024-07-01,Jul 2024,BIL-408364,Paid In Full,Yes,Accenture,6200,G&A Expense,Training session,SKU-ENSO-PRO,Enso Pro License,1.39,Each,1020.79,USD,1.0,1683.26,0.0,1683.26,1683.26,Enso US,EU-Central,Marketing,SMB,Due on Receipt,,
TXN-0003158,Credit Memo,2024-07-01,Jul 2024,CRE-452284,Applied,Yes,Soylent Inc,4200,Product Revenue,Monthly charge,SKU-ENSO-TEAM,Enso Team License,1.79,Each,1144.4,USD,1.0,-15187.34,0.0,-15187.34,-15187.34,Enso UK,US-West,Operations,Enterprise,,,
TXN-0003159,Item Receipt,2024-07-23,Jul 2024,ITE-637388,Received,Yes,AWS,1200,Inventory,Monthly charge,SKU-SUP-STD,Standard Support,6.49,Month,1408.11,USD,1.0,15631.01,1367.71,16998.72,15631.01,Enso UK,UK-South,Sales,Internal,,,
TXN-0003160,Customer Payment,2024-07-11,Jul 2024,CUS-129645,Deposited,Yes,Initech Inc,4000,Revenue,Training session,,,,,,USD,1.0,12637.78,0.0,12637.78,12637.78,Enso EU,EU-Central,Operations,SMB,,ACH,
TXN-0003161,Expense Report,2024-07-09,Jul 2024,EXP-971475,Approved,Yes,Oracle,6000,Sales & Marketing,Hardware purchase,SKU-TRNG-01,Admin Training,7.7,Hour,1245.94,USD,1.0,13140.55,1248.35,14388.9,13140.55,Enso EU,US-East,HR,Internal,,,
TXN-0003162,Bank Deposit,2024-07-01,Jul 2024,BAN-104947,Deposited,Yes,HP,6200,G&A Expense,Quarterly true-up,,,,,,USD,1.0,46626.31,0.0,46626.31,46626.31,Enso US,US-West,Finance,Enterprise,,Check,
TXN-0003163,Customer Payment,2024-07-02,Jul 2024,CUS-259685,Deposited,Yes,Soylent Corp,4200,Product Revenue,Cloud services,,,,,,USD,1.0,16076.22,0.0,16076.22,16076.22,Enso UK,US-West,Operations,SMB,,Credit Card,
TXN-0003164,Cash Sale,2024-07-21,Jul 2024,CAS-164958,Paid,Yes,Massive Dynamic Corp,4200,Product Revenue,Promotion credit,SKU-ENSO-TEAM,Enso Team License,6.58,Each,508.12,GBP,1.27,23742.07,0.0,23742.07,30152.43,Enso US,UK-South,Marketing,Enterprise,,Wire,
TXN-0003165,Bill,2024-07-07,Jul 2024,BIL-848155,Partially Paid,Yes,Google Cloud,5000,COGS,Consulting services,SKU-SUP-STD,Standard Support,7.44,Month,1023.51,GBP,1.27,726.94,69.06,796.0,923.21,Enso US,US-West,Operations,Mid-Market,Net 30,,
TXN-0003166,Cash Sale,2024-07-10,Jul 2024,CAS-880312,Paid,Yes,Aperture Inc,4200,Product Revenue,Training session,SKU-ENSO-TEAM,Enso Team License,7.15,Each,77.81,USD,1.0,23849.82,2265.73,26115.55,23849.82,Enso UK,US-East,Sales,SMB,,ACH,
TXN-0003167,Cash Sale,2024-07-09,Jul 2024,CAS-793055,Paid,Yes,Wonka Partners,4000,Revenue,Inventory receipt,SKU-ENSO-PRO,Enso Pro License,7.38,Each,982.25,USD,1.0,5210.52,495.0,5705.52,5210.52,Enso EU,UK-South,R&D,SMB,,Credit Card,
TXN-0003168,Vendor Credit,2024-07-27,Jul 2024,VEN-738793,Open,Yes,AWS,5000,COGS,Inventory receipt,SKU-SUP-PREM,Premium Support,4.28,Month,1404.48,EUR,1.09,-9922.43,0.0,-9922.43,-10815.45,Enso UK,US-East,Marketing,SMB,,,
TXN-0003169,Invoice,2024-07-09,Jul 2024,INV-994403,Partially Paid,Yes,Soylent Partners,4100,Services Revenue,Inventory receipt,SKU-ENSO-TEAM,Enso Team License,9.22,Each,1465.46,USD,1.0,18704.5,935.22,19639.72,18704.5,Enso EU,US-East,Operations,Enterprise,Net 15,,
TXN-0003170,Transfer,2024-07-26,Jul 2024,TRA-563471,Completed,Yes,HP,3000,Equity,Monthly charge,,,,,,USD,1.0,2568.55,0.0,2568.55,2568.55,Enso EU,EU-Central,HR,SMB,,,
TXN-0003171,Customer Payment,2024-07-05,Jul 2024,CUS-358573,Undeposited,Yes,Wayne LLC,4000,Revenue,Travel & meals,,,,,,USD,1.0,23385.36,0.0,23385.36,23385.36,Enso US,US-West,R&D,Enterprise,,Wire,
TXN-0003172,Vendor Payment,2024-07-05,Jul 2024,VEN-679093,Processed,Yes,KPMG,5000,COGS,Inventory receipt,,,,,,USD,1.0,8586.31,0.0,8586.31,8586.31,Enso EU,US-West,Operations,Mid-Market,,Credit Card,
TXN-0003173,Journal Entry,2024-07-09,Jul 2024,JOU-129860,Posted,Yes,AWS,6200,G&A Expense,Hardware purchase,,,,,,GBP,1.27,9057.09,0.0,9057.09,11502.5,Enso EU,EU-Central,HR,Enterprise,,,
TXN-0003174,Customer Payment,2024-07-13,Jul 2024,CUS-526455,Undeposited,Yes,Stark LLC,4100,Services Revenue,Training session,,,,,,USD,1.0,1529.25,0.0,1529.25,1529.25,Enso EU,US-West,Finance,Internal,,Check,
TXN-0003175,Bank Deposit,2024-07-17,Jul 2024,BAN-766744,Deposited,Yes,Oracle,6100,R&D Expense,Inventory receipt,,,,,,EUR,1.09,7373.58,0.0,7373.58,8037.2,Enso UK,EU-Central,R&D,Enterprise,,Check,
TXN-0003176,Invoice,2024-07-20,Jul 2024,INV-297044,Paid In Full,Yes,Wonka Inc,4000,Revenue,Quarterly true-up,SKU-ENSO-TEAM,Enso Team License,4.61,Each,1283.73,USD,1.0,1432.2,71.61,1503.81,1432.2,Enso EU,US-East,HR,Internal,Due on Receipt,,
